model_name,filters,num_params,test_loss,test_accuracy,activation_bit_width,logit_bit_width,activation_int_bits,logit_int_bits
model_0,8-8,1482,2.2255806922912598,0.18559999763965607,2,2,1,1
model_1,8-8,1482,2.077153205871582,0.2517000138759613,2,4,1,2
model_2,8-8,1482,1.7403297424316406,0.4408999979496002,2,6,1,2
model_3,8-8,1482,1.394938588142395,0.5306000113487244,2,8,1,2
model_4,8-8,1482,2.276446580886841,0.18549999594688416,4,2,2,1
model_5,8-8,1482,2.1834332942962646,0.15929999947547913,4,4,2,2
model_6,8-8,1482,1.7173508405685425,0.4221000075340271,4,6,2,2
model_7,8-8,1482,1.3087480068206787,0.5464000105857849,4,8,2,2
model_8,8-8,1482,2.2061874866485596,0.19589999318122864,6,2,2,1
model_9,8-8,1482,2.274338483810425,0.13289999961853027,6,4,2,2
model_10,8-8,1482,1.560341715812683,0.46369999647140503,6,6,2,2
model_11,8-8,1482,1.225284218788147,0.5730999708175659,6,8,2,2
model_12,8-8,1482,2.2169322967529297,0.18080000579357147,8,2,2,1
model_13,8-8,1482,2.0024561882019043,0.3093999922275543,8,4,2,2
model_14,8-8,1482,1.5943814516067505,0.43970000743865967,8,6,2,2
model_15,8-8,1482,1.3198442459106445,0.5403000116348267,8,8,2,2
model_16,8-8,1482,2.2668616771698,0.12300000339746475,2,2,1,1
model_17,8-8,1482,2.010253429412842,0.2587999999523163,2,4,1,2
model_18,8-8,1482,1.410864233970642,0.5092999935150146,2,6,1,2
model_19,8-8,1482,1.3258544206619263,0.5253000259399414,2,8,1,2
model_20,8-8,1482,2.2599165439605713,0.14650000631809235,4,2,2,1
model_21,8-8,1482,2.0308964252471924,0.25529998540878296,4,4,2,2
model_22,8-8,1482,1.434311866760254,0.4885999858379364,4,6,2,2
model_23,8-8,1482,1.2717385292053223,0.5475999712944031,4,8,2,2
model_24,8-8,1482,2.30259108543396,0.10000000149011612,6,2,2,1
model_25,8-8,1482,1.9483695030212402,0.3296000063419342,6,4,2,2
model_26,8-8,1482,1.4185247421264648,0.49900001287460327,6,6,2,2
model_27,8-8,1482,1.2596997022628784,0.5561000108718872,6,8,2,2
model_28,8-8,1482,2.287729263305664,0.11219999939203262,8,2,2,1
model_29,8-8,1482,2.0577352046966553,0.28630000352859497,8,4,2,2
model_30,8-8,1482,1.4064615964889526,0.49709999561309814,8,6,2,2
model_31,8-8,1482,1.2737672328948975,0.5548999905586243,8,8,2,2
model_32,12-12,3082,2.302549362182617,0.09709999710321426,2,2,1,1
model_33,12-12,3082,2.30263352394104,0.10000000149011612,2,4,1,2
model_34,12-12,3082,1.7559398412704468,0.45010000467300415,2,6,1,2
model_35,12-12,3082,1.3213645219802856,0.5497999787330627,2,8,1,2
model_36,12-12,3082,2.2025983333587646,0.1826999932527542,4,2,2,1
model_37,12-12,3082,2.0488531589508057,0.2816999852657318,4,4,2,2
model_38,12-12,3082,1.5988761186599731,0.4595000147819519,4,6,2,2
model_39,12-12,3082,1.221377968788147,0.5795999765396118,4,8,2,2
model_40,12-12,3082,2.2892818450927734,0.18790000677108765,6,2,2,1
model_41,12-12,3082,2.05613112449646,0.26750001311302185,6,4,2,2
model_42,12-12,3082,1.537642002105713,0.46650001406669617,6,6,2,2
model_43,12-12,3082,1.2414110898971558,0.5827999711036682,6,8,2,2
model_44,12-12,3082,2.216339588165283,0.18299999833106995,8,2,2,1
model_45,12-12,3082,2.0029842853546143,0.26899999380111694,8,4,2,2
model_46,12-12,3082,1.461006760597229,0.4916999936103821,8,6,2,2
model_47,12-12,3082,1.258967638015747,0.5566999912261963,8,8,2,2
model_48,12-12,3082,2.2237162590026855,0.18870000541210175,2,2,1,1
model_49,12-12,3082,1.9482073783874512,0.27720001339912415,2,4,1,2
model_50,12-12,3082,1.3668204545974731,0.5317999720573425,2,6,1,2
model_51,12-12,3082,1.2188869714736938,0.5803999900817871,2,8,1,2
model_52,12-12,3082,2.305310010910034,0.13189999759197235,4,2,2,1
model_53,12-12,3082,1.9874604940414429,0.3027999997138977,4,4,2,2
model_54,12-12,3082,1.3852015733718872,0.5223000049591064,4,6,2,2
model_55,12-12,3082,1.2254199981689453,0.5722000002861023,4,8,2,2
model_56,12-12,3082,2.3089914321899414,0.1615000069141388,6,2,2,1
model_57,12-12,3082,1.969218134880066,0.3149000108242035,6,4,2,2
model_58,12-12,3082,1.304373025894165,0.5519000291824341,6,6,2,2
model_59,12-12,3082,1.2154628038406372,0.5759000182151794,6,8,2,2
model_60,12-12,3082,2.231861114501953,0.13660000264644623,8,2,2,1
model_61,12-12,3082,1.9155935049057007,0.3407000005245209,8,4,2,2
model_62,12-12,3082,1.3210631608963013,0.5376999974250793,8,6,2,2
model_63,12-12,3082,1.2339582443237305,0.5681999921798706,8,8,2,2
model_64,16-16,5258,2.3234317302703857,0.10840000212192535,2,2,1,1
model_65,16-16,5258,2.329688787460327,0.09809999912977219,2,4,1,2
model_66,16-16,5258,1.8394863605499268,0.4537000060081482,2,6,1,2
model_67,16-16,5258,1.2996516227722168,0.5467000007629395,2,8,1,2
model_68,16-16,5258,2.2397892475128174,0.15850000083446503,4,2,2,1
model_69,16-16,5258,2.1530139446258545,0.24650000035762787,4,4,2,2
model_70,16-16,5258,1.5997437238693237,0.47839999198913574,4,6,2,2
model_71,16-16,5258,1.2453045845031738,0.5892000198364258,4,8,2,2
model_72,16-16,5258,2.260892152786255,0.20090000331401825,6,2,2,1
model_73,16-16,5258,2.1395208835601807,0.25429999828338623,6,4,2,2
model_74,16-16,5258,1.4845081567764282,0.5058000087738037,6,6,2,2
model_75,16-16,5258,1.2027372121810913,0.579200029373169,6,8,2,2
model_76,16-16,5258,2.1737401485443115,0.227400004863739,8,2,2,1
model_77,16-16,5258,2.05416202545166,0.28619998693466187,8,4,2,2
model_78,16-16,5258,1.5006734132766724,0.47119998931884766,8,6,2,2
model_79,16-16,5258,1.239255666732788,0.5828999876976013,8,8,2,2
model_80,16-16,5258,2.2894065380096436,0.1160999983549118,2,2,1,1
model_81,16-16,5258,2.1961538791656494,0.2037999927997589,2,4,1,2
model_82,16-16,5258,1.3126542568206787,0.5544999837875366,2,6,1,2
model_83,16-16,5258,1.2246382236480713,0.565500020980835,2,8,1,2
model_84,16-16,5258,2.2930004596710205,0.13609999418258667,4,2,2,1
model_85,16-16,5258,1.9849531650543213,0.2980000078678131,4,4,2,2
model_86,16-16,5258,1.2994064092636108,0.5604000091552734,4,6,2,2
model_87,16-16,5258,1.2065037488937378,0.5863999724388123,4,8,2,2
model_88,16-16,5258,2.2961723804473877,0.17569999396800995,6,2,2,1
model_89,16-16,5258,2.0111043453216553,0.3125999867916107,6,4,2,2
model_90,16-16,5258,1.3064002990722656,0.5522000193595886,6,6,2,2
model_91,16-16,5258,1.1889086961746216,0.6046000123023987,6,8,2,2
